order_id,customer_id,city,product,category,quantity,price,order_date
1,806,Karaj,Phone,Electronics,5,-224.0,2024-07-05
2,850,Shiraz,Blender,Home,5,1731.0,2024-07-24
3,808,Tehran,Tennis Racket,Sports,2,2741.0,2024-10-13
4,818,Isfahan,Jeans,Fashion,2,4475.0,2025-01-26
5,809,Shiraz,Laptop,Electronics,2,171.0,2025-05-16
6,54,,Yoga Mat,Sports,1,1477.0,2025-02-10
7,460,Karaj,Clean Code,Books,1,-570.0,2025-09-14
8,227,Tehran,Bicycle Helmet,Sports,1,3752.0,2025-10-12
9,491,Ahvaz,Yoga Mat,Sports,4,305.0,2024-07-16
10,921,Mashhad,Python Book,Books,4,3683.0,2024-07-29
11,282,Karaj,Hat,Fashion,2,,2024-09-21
12,518,Ahvaz,Clean Code,Books,5,2465.0,2025-08-22
13,463,Shiraz,Laptop,Electronics,5,1811.0,2025-07-29
14,748,Mashhad,Data Science Handbook,Books,4,3316.0,2025-07-14
15,977,Isfahan,Jacket,Fashion,3,2138.0,2025-06-02
16,443,Mashhad,Python Book,Books,1,749.0,2024-08-18
17,980,Karaj,Jeans,Fashion,5,541.0,2026-01-05
18,992,Tabriz,Smart Watch,Electronics,3,3514.0,2024-07-06
19,520,Shiraz,Yoga Mat,Sports,3,898.0,2025-12-27
20,866,Karaj,Air Fryer,Home,2,936.0,2025-05-08
21,866,Tehran,Headphones,Electronics,5,1902.0,2025-07-28
22,720,Tabriz,Yoga Mat,Sports,1,1527.0,2025-02-18
23,580,Ahvaz,Sneakers,Fashion,1,1536.0,2024-10-08
24,221,Ahvaz,Phone,Electronics,1,801.0,2025-11-09
25,320,Karaj,AI Basics,Books,3,1339.0,2025-05-28
26,162,Tehran,Bicycle Helmet,Sports,1,480.0,2024-10-21
27,622,Qom,Headphones,Electronics,4,3523.0,2025-09-24
28,354,Ahvaz,Data Science Handbook,Books,2,4247.0,2024-09-08
29,684,Tabriz,Headphones,Electronics,5,4036.0,2025-11-05
30,8,Shiraz,Phone,Electronics,4,4959.0,2024-07-10
31,336,Mashhad,Jeans,Fashion,2,2143.0,2025-03-07
32,390,Shiraz,Smart Watch,Electronics,4,1489.0,2024-09-24
33,883,Tehran,Bicycle Helmet,Sports,3,640.0,2025-06-25
34,590,Ahvaz,Python Book,Books,4,687.0,2025-03-31
35,415,Tehran,Dumbbells,Sports,4,2421.0,2024-09-09
36,942,Karaj,Jeans,Fashion,5,3819.0,2026-04-21
37,604,Ahvaz,Smart Watch,Electronics,1,2043.0,2025-08-04
38,227,Karaj,Football,Sports,4,2591.0,2025-04-27
39,523,Shiraz,Vacuum Cleaner,Home,5,984.0,2025-11-09
40,150,Tabriz,Sneakers,Fashion,2,1985.0,2024-08-28
41,78,Isfahan,Blender,Home,5,1302.0,2026-03-17
42,698,Karaj,AI Basics,Books,5,4797.0,2025-08-17
43,453,Tabriz,Jeans,Fashion,4,609.0,2025-09-07
44,76,Tabriz,Hat,Fashion,1,2933.0,2025-10-16
45,852,Tabriz,AI Basics,Books,1,516.0,2025-05-27
46,394,Qom,Laptop,Electronics,5,4916.0,2025-10-16
47,668,Shiraz,Bicycle Helmet,Sports,1,3734.0,2025-12-21
48,981,Tehran,Hat,Fashion,4,4157.0,2024-10-16
49,662,Isfahan,Python Book,Books,3,740.0,2025-10-13
50,536,Isfahan,Phone,Electronics,4,3649.0,2025-11-02
51,794,Karaj,Sneakers,Fashion,3,3223.0,2025-07-07
52,97,Ahvaz,Football,Sports,3,589.0,2025-04-17
53,84,Isfahan,Sneakers,Fashion,5,1281.0,2025-04-21
54,726,Mashhad,Sneakers,Fashion,4,1106.0,2026-01-14
55,687,Mashhad,Hat,Fashion,4,2740.0,2024-09-22
56,317,Isfahan,Clean Code,Books,3,199.0,2025-05-21
57,141,Isfahan,Microwave,Home,4,1622.0,2025-01-01
58,856,Tehran,Headphones,Electronics,1,4208.0,2025-11-18
59,158,Isfahan,Hat,Fashion,2,4942.0,2025-06-04
60,421,Karaj,Lamp,Home,2,3635.0,2024-06-28
61,240,Shiraz,Air Fryer,Home,5,2384.0,2025-08-17
62,970,Qom,Jacket,Fashion,2,3063.0,2026-04-09
